# Case_ID,eta_w_wake_efficiency,eta_nl_nonlocal_efficiency,Pi_T_turbinescale_loss_factor,Pi_F_farmscale_loss_factor,Pi_F_predicted_analytical_prediction_of_farmscale_loss_factor,k_wake_expansion_coefficient,C_T_internal_turbine_thrust_coefficient,M_momentum_availability_factor,beta_farm_wind_speed_reduction_factor,zeta_wind_extractability_factor,Delta_Pf_pressure_gradient_across_the_farm
H500-C5-G8,0.689100,0.741453,-0.044419,0.557954,0.588326,0.081439,1.016336,10.936436,0.755478,40.636132,17.913068
H500-C8-G1,0.823468,0.639005,-0.046472,0.548248,0.588706,0.074179,1.022073,11.089832,0.760257,42.085979,24.455007
H500-C8-G4,0.748150,0.715908,-0.046915,0.540878,0.587011,0.077723,1.020732,11.214797,0.764663,43.404962,22.569604
H500-C8-G8,0.723991,0.742878,-0.046478,0.538392,0.588572,0.079286,1.019688,11.240006,0.766223,43.802449,20.936199
H300-C0-G0,0.479500,1.025262,-0.101913,0.610703,0.653776,0.104444,1.044733,10.249545,0.719167,32.936103,4.280197
H300-C2-G1,0.500898,0.856684,-0.073125,0.647718,0.641110,0.093683,1.032547,9.519064,0.696803,28.097486,6.271940
H300-C2-G4,0.578917,0.781822,-0.061657,0.625014,0.642261,0.086864,1.026780,9.914015,0.712738,31.030919,11.693906
H300-C2-G8,0.619620,0.752896,-0.055221,0.610764,0.643400,0.084103,1.020617,10.065705,0.722818,32.706686,14.697596
H300-C5-G1,0.707319,0.577447,-0.061476,0.664121,0.653709,0.088847,1.034773,9.218810,0.685192,26.107365,14.684794
H300-C5-G4,0.735844,0.607465,-0.057267,0.631221,0.653776,0.084920,1.030485,9.808830,0.708112,30.178785,18.270741
H300-C5-G8,0.735099,0.638942,-0.056037,0.611816,0.653070,0.081094,1.027994,10.140120,0.721016,32.762157,19.872688
H300-C8-G1,1.002767,0.437410,-0.052480,0.637464,0.658585,0.076377,1.025973,9.697176,0.704702,29.452247,28.155820
H300-C8-G4,0.887202,0.526498,-0.052751,0.614143,0.658579,0.075724,1.025538,10.114890,0.719915,32.543327,26.426034
H300-C8-G8,0.831950,0.582854,-0.053307,0.599720,0.658216,0.077683,1.024777,10.297686,0.729104,34.322004,25.770822
H150-C0-G0,0.533165,1.060568,-0.166776,0.586223,nan,nan,1.178553,11.304072,0.715507,36.219057,4.280800
H150-C2-G1,0.455652,0.900371,-0.079981,0.676696,nan,nan,1.021385,9.059433,0.678484,25.066967,5.193351
H150-C2-G4,0.519838,0.803192,-0.051739,0.662510,nan,nan,1.007165,9.233347,0.690761,26.624587,10.588482
H150-C2-G8,0.570357,0.748689,-0.032010,0.648462,nan,nan,0.997937,9.477161,0.701844,28.432001,14.169413
H150-C5-G1,0.500184,0.697704,-0.012918,0.706717,nan,nan,1.009617,8.315212,0.658356,21.411787,8.714475
H150-C5-G4,0.615261,0.609470,0.004837,0.678564,nan,nan,0.995022,8.839336,0.681490,24.612506,14.732688
H150-C5-G8,0.678207,0.574181,0.020082,0.661419,nan,nan,0.984507,9.084485,0.695239,26.527284,18.318334
H150-C8-G1,1.226844,0.264968,0.044139,0.709358,nan,nan,0.965142,8.111265,0.663946,21.161093,22.465536
H150-C8-G4,0.979986,0.362914,0.059459,0.677222,nan,nan,0.955196,8.648982,0.689184,24.609336,24.336057
H150-C8-G8,0.891981,0.419403,0.064205,0.657112,nan,nan,0.949675,9.012960,0.704032,27.073735,25.537925
H1000-C5-G4_aligned,0.443898,0.896154,0.181652,0.553026,nan,nan,0.776244,9.211413,0.796541,40.359137,10.607770
H500-C5-G4_aligned,0.513881,0.748097,0.184088,0.576119,nan,nan,0.768971,9.108124,0.785438,37.789226,15.500759
H300-C5-G4_aligned,0.513518,0.672538,0.183812,0.630892,nan,nan,0.748023,8.315912,0.757949,30.224644,15.419541
H500-C5-G4_double_spacing,0.891024,0.890850,0.025314,0.266650,nan,nan,0.958554,4.313310,0.903076,34.184705,6.634621
H500-C5-G4_half_farm,0.814680,0.736584,-0.037612,0.477456,nan,nan,1.010387,12.211581,0.800604,56.227699,11.747937
